DPPressure,ROPenetration,WOBit,HLoad,WBoPressure,BTBR,WellDepth,FPress
638.0643,32.83174,9937.991,340092.0,6984.088,12678.9,12678.9,6796.177
637.5023,33.18917,9936.31,340059.6,6950.605,12678.9,12678.9,6796.179
637.2625,33.23917,9949.63,340041.9,6950.824,12678.9,12678.9,6796.179
637.1367,33.26462,9956.31,340033.3,6950.923,12678.9,12678.9,6796.179
637.0082,33.29028,9963.003,340024.8,6951.015,12678.9,12678.9,6796.179
636.7452,33.34191,9976.427,340008.1,6951.179,12678.9,12678.9,6796.179
636.6118,33.36777,9983.157,339999.9,6951.251,12678.9,12678.9,6796.179
636.4775,33.3936,9989.9,339991.8,6951.318,12678.9,12678.9,6796.179
636.3427,33.41938,9996.654,339983.8,6951.38,12678.9,12678.9,6796.179
636.0726,33.47066,10010.2,339968.2,6951.487,12678.9,12678.9,6796.179
635.9376,33.49613,10016.98,339960.4,6951.533,12678.9,12678.9,6796.179
635.6686,33.54665,10030.59,339945.3,6951.613,12678.9,12678.9,6796.179
635.5348,33.57167,10037.41,339937.8,6951.646,12678.9,12678.9,6796.179
635.2687,33.61581,9921.688,340052.4,6951.702,12678.91,12678.91,6796.182
635.1367,33.63522,9928.529,340045.1,6951.729,12678.91,12678.91,6796.182
634.8743,33.67467,9942.236,340030.6,6951.766,12678.91,12678.91,6796.182
634.744,33.6947,9949.101,340023.5,6951.781,12678.91,12678.91,6796.182
634.4853,33.73524,9962.851,340009.3,6951.803,12678.91,12678.91,6796.182
634.3569,33.75566,9967.438,340002.3,6951.811,12678.91,12678.91,6796.182
634.1232,33.79639,9981.184,339989.9,6951.857,12678.91,12678.91,6796.182
634.0068,33.81675,9988.092,339983.0,6951.856,12678.91,12678.91,6796.182
633.7643,33.85741,10001.92,339969.3,6951.852,12678.91,12678.91,6796.182
633.6414,33.87769,10008.85,339962.4,6951.847,12678.91,12678.91,6796.182
633.3956,33.91804,10022.71,339948.8,6951.835,12678.91,12678.91,6796.182
633.2733,33.9381,10029.65,339942.1,6951.828,12678.91,12678.91,6796.182
633.0303,33.97798,9914.778,339928.5,6951.81,12678.91,12678.91,6796.184
632.9097,33.99239,9921.733,340050.5,6951.8,12678.91,12678.91,6796.184
632.6701,34.02192,9935.652,340037.1,6951.781,12678.91,12678.91,6796.184
632.5511,34.0371,9942.617,340030.3,6951.769,12678.91,12678.91,6796.184
632.3146,34.06823,9956.559,340016.9,6951.744,12678.91,12678.91,6796.184
632.197,34.08412,9963.535,340010.2,6951.73,12678.91,12678.91,6796.184
631.9633,34.1163,9977.499,339996.8,6951.703,12678.91,12678.91,6796.184
631.8472,34.13253,9984.487,339990.1,6951.688,12678.91,12678.91,6796.184
631.7316,34.14881,9991.479,339983.4,6951.673,12678.91,12678.91,6796.184
631.5018,34.18145,10005.47,339970.1,6951.643,12678.91,12678.91,6796.184
631.3877,34.19777,10012.47,339963.4,6951.627,12678.91,12678.91,6796.184
631.2741,34.21409,10019.48,339956.7,6951.611,12678.91,12678.91,6796.184
631.1609,34.23038,10026.49,339950.0,6951.595,12678.91,12678.91,6796.184
631.0483,34.24665,10033.5,339943.3,6951.579,12678.91,12678.91,6796.184
630.8246,34.27381,9922.146,340055.3,6951.545,12678.92,12678.92,6796.186
630.7136,34.28501,9929.168,340048.6,6951.532,12678.92,12678.92,6796.186
630.6029,34.2965,9933.856,340041.9,6951.516,12678.92,12678.92,6796.186
630.4941,34.30827,9940.842,340036.9,6951.534,12678.92,12678.92,6796.186
630.3006,34.33249,9954.907,340023.7,6951.496,12678.92,12678.92,6796.186
630.1964,34.34501,9961.943,340017.0,6951.477,12678.92,12678.92,6796.186
629.9833,34.3706,9976.022,340003.7,6951.44,12678.92,12678.92,6796.186
629.8763,34.38359,9983.066,339997.0,6951.422,12678.92,12678.92,6796.186
629.6627,34.40984,9997.161,339983.6,6951.386,12678.92,12678.92,6796.186
629.5563,34.42305,10004.21,339976.9,6951.368,12678.92,12678.92,6796.186
629.3447,34.44959,10018.32,339963.5,6951.332,12678.92,12678.92,6796.186
629.2396,34.46288,10025.38,339956.8,6951.314,12678.92,12678.92,6796.186
629.0306,34.48948,9915.503,339943.4,6951.28,12678.92,12678.92,6796.188
628.9268,34.49759,9922.57,340060.7,6951.262,12678.92,12678.92,6796.188
628.7205,34.51471,9936.705,340047.3,6951.231,12678.92,12678.92,6796.188
628.6179,34.52378,9943.776,340040.5,6951.214,12678.92,12678.92,6796.188
628.4137,34.54288,9957.922,340027.0,6951.181,12678.92,12678.92,6796.188
628.3121,34.55283,9964.998,340020.3,6951.165,12678.92,12678.92,6796.188
628.1101,34.57333,9979.155,340006.8,6951.132,12678.92,12678.92,6796.188
627.9096,34.59441,9993.321,339993.3,6951.101,12678.92,12678.92,6796.188
627.8099,34.60509,10000.41,339986.5,6951.085,12678.92,12678.92,6796.188
627.6118,34.62669,10014.59,339972.9,6951.054,12678.92,12678.92,6796.188
627.4153,34.64848,10028.77,339959.4,6951.023,12678.92,12678.92,6796.188
627.3177,34.65943,10033.51,339952.6,6951.008,12678.92,12678.92,6796.188
627.1399,34.67595,9922.947,340065.6,6951.002,12678.93,12678.93,6796.19
626.9595,34.68829,9937.153,340052.1,6950.972,12678.93,12678.93,6796.19
626.8661,34.69503,9944.259,340045.3,6950.956,12678.93,12678.93,6796.19
626.6777,34.70957,9958.472,340031.7,6950.924,12678.93,12678.93,6796.19
626.4893,34.72527,9972.689,340018.1,6950.894,12678.93,12678.93,6796.19
626.3954,34.73344,9979.801,340011.3,6950.879,12678.93,12678.93,6796.19
626.2087,34.75026,9986.981,339997.7,6950.85,12678.93,12678.93,6796.19
626.0233,34.7673,10008.26,339984.0,6950.822,12678.93,12678.93,6796.19
625.8394,34.78502,10022.5,339970.3,6950.793,12678.93,12678.93,6796.19
625.748,34.79398,10029.62,339963.5,6950.78,12678.93,12678.93,6796.19
625.5665,34.81204,9916.185,339949.8,6950.752,12678.93,12678.93,6796.193
625.4763,34.81583,9923.313,340070.6,6950.739,12678.93,12678.93,6796.193
625.297,34.82446,9937.567,340056.9,6950.715,12678.93,12678.93,6796.193
625.119,34.83466,9951.826,340043.2,6950.689,12678.93,12678.93,6796.193
624.9423,34.84626,9966.088,340029.4,6950.665,12678.93,12678.93,6796.193
624.8544,34.85248,9973.221,340022.5,6950.652,12678.93,12678.93,6796.193
624.6795,34.86555,9987.49,340008.7,6950.628,12678.93,12678.93,6796.193
624.506,34.87927,10001.76,339994.9,6950.604,12678.93,12678.93,6796.193
624.4198,34.88632,10006.53,339988.0,6950.592,12678.93,12678.93,6796.193
624.2627,34.9005,10020.79,339976.3,6950.587,12678.93,12678.93,6796.193
624.1034,34.91503,10035.08,339962.5,6950.561,12678.93,12678.93,6796.193
623.938,34.92462,9923.596,340074.5,6950.536,12678.94,12678.94,6796.195
623.8549,34.92719,9930.743,340067.6,6950.527,12678.94,12678.94,6796.195
623.6891,34.93358,9945.04,340053.7,6950.503,12678.94,12678.94,6796.195
623.5241,34.94155,9959.339,340039.9,6950.48,12678.94,12678.94,6796.195
623.3602,34.95081,9973.642,340026.0,6950.458,12678.94,12678.94,6796.195
623.1973,34.96104,9987.947,340012.2,6950.437,12678.94,12678.94,6796.195
623.0358,34.97197,10002.26,339998.3,6950.415,12678.94,12678.94,6796.195
622.8755,34.98345,10016.57,339984.4,6950.395,12678.94,12678.94,6796.195
622.7959,34.98936,10023.73,339977.4,6950.384,12678.94,12678.94,6796.195
622.6377,35.00145,10030.9,339963.5,6950.364,12678.94,12678.94,6796.195
622.4809,35.00765,9902.406,340092.4,6950.343,12678.94,12678.94,6796.198
622.3255,35.0087,9902.429,340092.8,6950.327,12678.94,12678.94,6796.198
